,country,hours
0,Ivory Coast,"1,823.00"
1,Ivory Coast,"2,092.00"
2,Ivory Coast,"2,296.00"
3,Ivory Coast,"2,638.60"
4,Ivory Coast,"2,757.00"
5,Benin,"2,345.20"
6,Benin,"2,501.00"
7,Benin,"3,045.20"
8,Togo,"2,333.90"
9,Togo,"2,826.00"
10,Ghana,"2,432.00"
11,Ghana,"2,718.70"
12,Ghana,"1,951.80"
13,Cameroon,"2,927.10"
14,Cameroon,"2,471.40"
15,Cameroon,"1,618.00"
16,Cameroon,"1,644.00"
17,Gabon,"1,716.60"
18,Gabon,"1,723.80"
19,Nigeria,"1,845.40"
20,Nigeria,"2,380.00"
21,Nigeria,"2,768.00"
22,Nigeria,"3,114.00"
23,Nigeria,"3,238.00"
24,Sudan,"3,382.00"
25,Sudan,"3,737.10"
26,Eritrea,"3,361.00"
27,Burkina Faso,"3,136.00"
28,Burkina Faso,"3,282.00"
29,Niger,"3,203.20"
30,Chad,"3,205.50"
31,Chad,"3,500.90"
32,Gambia,"3,070.00"
33,Senegal,"3,078.00"
34,Senegal,"3,214.00"
35,Somalia,"3,082.00"
36,Somalia,"3,124.00"
37,Djibouti,"3,279.00"
38,Mali,"3,239.00"
39,Mali,"3,447.00"
40,Mali,"2,954.10"
41,Algeria,"2,847.00"
42,Algeria,"3,686.00"
43,Tunisia,"2,808.40"
44,Tunisia,"3,291.50"
45,Morocco,"2,918.80"
46,Morocco,"3,131.20"
47,Morocco,"3,416.40"
48,Egypt,"3,541.80"
49,Egypt,"3,579.50"
50,Egypt,"3,725.00"
51,Libya,"3,187.00"
52,Libya,"3,169.20"
53,Kenya,"2,932.00"
54,Kenya,"2,491.90"
55,Kenya,"3,114.20"
56,Kenya,"3,582.00"
57,Angola,"2,341.00"
58,South Sudan,"2,753.50"
59,South Sudan,"2,929.10"
60,Tanzania,"2,815.00"
61,Tanzania,"2,838.00"
62,Tanzania,"3,143.00"
63,Tanzania,"3,335.40"
64,Ethiopia,"3,129.40"
65,Ethiopia,"2,440.30"
66,Congo,"1,915.00"
67,Congo,"1,574.00"
68,Congo,"1,607.00"
69,Democratic Republic of the Congo,"1,672.00"
70,Democratic Republic of the Congo,"2,778.00"
71,Mauritania,"3,332.00"
72,Mauritania,"3,333.00"
73,South Africa,"3,220.00"
74,South Africa,"3,094.00"
75,South Africa,"3,124.40"
76,South Africa,"3,312.30"
77,South Africa,"3,731.80"
78,South Africa,"2,365.40"
79,Botswana,"3,330.00"
80,Botswana,"3,371.00"
81,Botswana,"3,579.00"
82,Zambia,"2,793.90"
83,Zambia,"2,935.70"
84,Zambia,"3,166.80"
85,Zimbabwe,"3,010.90"
86,Zimbabwe,"3,119.90"
87,Malawi,"2,999.70"
88,Malawi,"2,797.00"
89,Malawi,"2,590.90"
90,Madagascar,"2,277.80"
91,Madagascar,"2,410.40"
92,Madagascar,"2,626.20"
93,Madagascar,"3,039.00"
94,Madagascar,"3,223.20"
95,Madagascar,"3,610.00"
96,Mozambique,"2,838.00"
97,Central African Republic,"2,095.00"
98,Central African Republic,"2,998.00"
99,Uganda,"2,210.00"
100,Uganda,"2,210.00"
101,Uganda,"2,398.00"
102,Burundi,"2,373.40"
103,Guinea,"2,222.00"
104,Guinea,"2,658.00"
105,Guinea-Bissau,"2,707.00"
106,Equatorial Guinea,"1,921.20"
107,Equatorial Guinea,"1,176.70"
108,Egypt,"3,958.00"
109,Egypt,3790.8
110,Egypt,3943.4
111,Namibia,3870
112,Namibia,3605
113,Afghanistan,"3,175.10"
114,Azerbaijan,"2,207.40"
115,Bangladesh,"2,066"
116,China,"2,670.80"
117,China,954.8
118,China,"2,990.20"
119,China,"1,775.80"
120,China,"2,523.30"
121,Hong Kong,"1,835.60"
122,India,"2,684.60"
123,India,"2,107.50"
124,India,"2,583.50"
125,India,"2,361.00"
126,Indonesia,"2,983.30"
127,Iran,"2,826.10"
128,Iraq,"3,240.80"
129,Israel,"3,311.00"
130,Japan,"1,740.40"
131,Japan,"1,876.70"
132,Kazakhstan,"2,356"
133,Kazakhstan,"2,507"
134,Macau,"1,773.90"
135,Mongolia,"2,791.50"
136,North Korea,"2,492"
137,Oman,"3,493.30"
138,Pakistan,"2,950.30"
139,Pakistan,"3,034.00"
140,Philippines,"2,103.10"
141,Russia,"1,164.30"
142,Russia,"2,142"
143,Russia,"2,201"
144,Russia,"1,872.40"
145,Russia,"2,096"
146,Russia,"2,227.60"
147,Saudi Arabia,"3,248.20"
148,Saudi Arabia,"3,224.80"
149,Singapore,"2,022.40"
150,South Korea,"2,327.30"
151,South Korea,"2,066.00"
152,Taiwan,"2,212.20"
153,Taiwan,"2,043.20"
154,Taiwan,"1,405.20"
155,Thailand,"2,623.80"
156,Thailand,"2,512.20"
157,Thailand,"1,567.80"
158,Thailand,"1,996.30"
159,Turkey,"2,449.60"
160,United Arab Emirates,"3,508.70"
161,Uzbekistan,"2,823.90"
162,Vietnam,"2,238"
163,Vietnam,"2,182"
164,Vietnam,"1,585"
165,Vietnam,"2,489"
166,Albania,"2,544"
167,Armenia,"2,474"
168,Austria,"1,884"
169,Belarus,"1,807"
170,Belgium,"1,546"
171,Bosnia and Herzegovina,"1,769"
172,Bulgaria,"2,177"
173,Croatia,"1,913"
174,Czech Republic,"1,668"
175,Cyprus,"3,314.10"
176,Denmark,"1,621"
177,Denmark,"1,739"
178,Estonia,"1,826"
179,Faroe Islands,840
180,Finland,"1,858"
181,France,"2,836"
182,France,"1,662"
183,Georgia,"2,046"
184,Germany,"1,626"
185,Germany,"1,662"
186,Greece,"2,848"
187,Greece,"3,102"
188,Hungary,"1,988"
189,Iceland,"1,326"
190,Ireland,"1,453"
191,Italy,"1,915"
192,Italy,"2,473"
193,Latvia,"1,754"
194,Lithuania,"1,691"
195,Malta,"3,054"
196,Moldova,"2,126"
197,Montenegro,"2,481"
198,Netherlands,"1,662"
199,North Macedonia,"2,339"
200,Norway,"1,187"
201,Norway,"1,668"
202,Norway,"1,265"
203,Poland,"1,571"
204,Portugal,"2,806"
205,Romania,"2,115"
206,Russia,"1,901"
207,Russia,"2,178"
208,Serbia,"2,112"
209,Slovakia,"2,038"
210,Slovenia,"1,974"
211,Spain,"2,591"
212,Spain,"2,769"
213,Spain,"2,906"
214,Sweden,"1,922"
215,Sweden,"1,821"
216,Switzerland,"1,566"
217,Turkey,"2,218"
218,Ukraine,"1,955"
219,United Kingdom,"1,427"
220,United Kingdom,"1,633"
221,Canada,"2,396.30"
222,Canada,"1,799.50"
223,Canada,"2,344.80"
224,Canada,"1,476.80"
225,Canada,"2,051.00"
226,Canada,"2,066.40"
227,Canada,"1,937.60"
228,Canada,"1,827.10"
229,Canada,"2,352.90"
230,Honduras,"2,259.80"
231,Mexico,"3,148"
232,Mexico,"2,555"
233,Mexico,"2,239"
234,Mexico,"2,443"
235,Nicaragua,"2,759.90"
236,Panama,"1,743.50"
237,Puerto Rico,"2,963.80"
238,El Salvador,"2,957"
239,Saint Pierre and Miquelon,"1,427.30"
240,United States,"3,415.40"
241,United States,"2,061.20"
242,United States,"1,530.70"
243,United States,"2,738.30"
244,United States,"2,643.70"
245,United States,"2,581.70"
246,United States,"2,993.40"
247,United States,"2,633.60"
248,United States,"2,821.00"
249,United States,"2,508.40"
250,United States,"2,280.00"
251,United States,"2,182.60"
252,United States,"2,849.70"
253,United States,"3,106.60"
254,United States,"2,435.90"
255,United States,"3,762.50"
256,United States,"3,564.20"
257,United States,"3,035.90"
258,United States,"2,577.90"
259,United States,"2,440.40"
260,United States,"2,879.70"
261,United States,"2,809.90"
262,United States,"3,825.30"
263,United States,"3,254.20"
264,United States,"2,514.40"
265,United States,"2,888.30"
266,United States,"3,154.00"
267,United States,"2,483.60"
268,United States,"2,710.70"
269,United States,"2,510.10"
270,United States,"2,648.90"
271,United States,"2,534.70"
272,United States,"3,089.40"
273,United States,"2,726.90"
274,United States,"2,498.40"
275,United States,"3,871.60"
276,United States,"2,021.30"
277,United States,"2,340.90"
278,United States,"2,606.30"
279,United States,"2,829.00"
280,United States,"3,607.80"
281,United States,"3,029.40"
282,United States,"2,629.20"
283,United States,"3,054.60"
284,United States,"3,061.70"
285,United States,"2,169.70"
286,United States,"2,593.70"
287,United States,"2,926.50"
288,United States,"3,806.00"
289,United States,"2,786.00"
290,United States,"2,695.10"
291,United States,"2,527.70"
292,United States,"2,922.40"
293,United States,"4,015.30"
294,Argentina,2525.2
295,Argentina,1281.2
296,Argentina,2871.7
297,Argentina,2283.2
298,Argentina,2533.9
299,Bolivia,2288.9
300,Brazil,2003.3
301,Brazil,2363.3
302,Brazil,2181.1
303,Brazil,2843.4
304,Brazil,1828.5
305,Brazil,2006.2
306,Colombia,1328
307,Colombia,2561
308,Colombia,1892.2
309,Colombia,1941.9
310,Colombia,1178
311,Colombia,637
312,Chile,2807.9
313,Chile,3077.1
314,Chile,1716.7
315,Chile,1714.8
316,Chile,3926.2
317,Ecuador,2238
318,Ecuador,1581.1
319,Falkland Islands,1651
320,French Guiana,1976
321,Paraguay,2803
322,Peru,3333.3
323,Peru,1230
324,Peru,1476.7
325,Uruguay,2481.4
326,Venezuela,2506.9
327,Venezuela,3284
328,Australia,"2,765.40"
329,Australia,"3,499.10"
330,Australia,"2,968.40"
331,Australia,"2,813.70"
332,Australia,"3,092.20"
333,Australia,"2,165.10"
334,Australia,"2,362.60"
335,Australia,"3,229.50"
336,Australia,"2,635.50"
337,Fiji,"1,922"
338,New Zealand,"2,003.10"
339,New Zealand,"2,070.20"
340,New Zealand,"2,058.70"
341,Papua New Guinea,"2,463"
342,Solomon Islands,"2,330"